cust;Recency;first_in_windows;Freq_2Y;Freq_1Y;Freq_3M;IPT_mean;CREDIT_PAY;TIPO_TARJETA;CUS_FIRST_BUY;CANTIDAD_COMPRAS_ITEMS_USADOS;cant_dias_active_short;recency_date_short;Frequency_target
286979361;267.0;267.0;1;1;0.0;9999999.0;0.0;0.0;267.0;1;2.0;18.0;0.0
108607702;7.0;7.0;1;1;1.0;9999999.0;0.0;0.0;2685.0;0;0.0;9999999.0;1.0
266685259;5.0;592.0;4;2;1.0;2.459392487759231;0.0;0.0;766.0;0;4.0;5.0;3.0
144023519;0.0;712.0;22;15;5.0;1.0721813859846585;38.0;4.0;2104.0;2;8.0;0.0;35.0
309130664;365.0;365.0;1;1;0.0;9999999.0;1.0;1.0;365.0;0;0.0;9999999.0;0.0
377858922;255.0;297.0;2;2;0.0;1.6232492903979006;0.0;0.0;297.0;0;0.0;9999999.0;0.0
201843618;150.0;467.0;2;1;0.0;9999999.0;0.0;0.0;1351.0;0;5.0;14.0;0.0
450455898;10.0;61.0;2;2;2.0;1.7075701760979363;1.0;1.0;61.0;0;2.0;10.0;0.0
419074061;115.0;115.0;1;1;0.0;9999999.0;0.0;0.0;115.0;0;0.0;9999999.0;0.0
170677912;198.0;560.0;4;3;0.0;1.7613524963673752;5.0;4.0;1747.0;0;2.0;10.0;1.0
28021830;288.0;288.0;1;1;0.0;9999999.0;0.0;0.0;288.0;0;0.0;9999999.0;3.0
264790284;36.0;36.0;1;1;1.0;9999999.0;0.0;0.0;36.0;0;1.0;20.0;1.0
59058660;6.0;394.0;3;2;2.0;1.806179973983887;0.0;0.0;3922.0;0;9.0;3.0;8.0
399849346;88.0;212.0;3;3;1.0;1.7877671091599323;0.0;0.0;213.0;1;9.0;8.0;3.0
222470190;11.0;682.0;16;12;6.0;1.0261629079361194;16.0;2.0;898.0;2;4.0;11.0;10.0
378115318;37.0;296.0;2;2;1.0;2.413299764081252;0.0;0.0;296.0;0;0.0;9999999.0;0.0
145415402;212.0;599.0;2;1;0.0;9999999.0;0.0;0.0;599.0;0;2.0;2.0;1.0
120535377;26.0;513.0;4;2;2.0;1.568201724066995;3.0;3.0;2566.0;0;6.0;11.0;2.0
52026360;4.0;626.0;41;16;5.0;1.127774103611714;26.0;2.0;3243.0;6;10.0;0.0;9.0
130841314;165.0;165.0;1;1;0.0;9999999.0;0.0;0.0;165.0;0;0.0;9999999.0;0.0
455334829;44.0;44.0;1;1;1.0;9999999.0;0.0;0.0;44.0;0;0.0;9999999.0;0.0
14696479;112.0;236.0;2;2;0.0;2.093421685162235;1.0;1.0;2820.0;0;0.0;9999999.0;0.0
383588907;274.0;274.0;1;1;0.0;9999999.0;1.0;2.0;274.0;0;0.0;9999999.0;0.0
56227049;110.0;332.0;3;3;0.0;1.8674798806362225;1.0;2.0;1797.0;0;0.0;9999999.0;3.0
461137385;3.0;25.0;3;3;3.0;1.0395906230238126;0.0;0.0;25.0;0;5.0;3.0;1.0
312367908;339.0;339.0;1;1;0.0;9999999.0;0.0;0.0;339.0;0;0.0;9999999.0;1.0
30159157;240.0;240.0;1;1;0.0;9999999.0;1.0;0.0;3356.0;0;0.0;9999999.0;1.0
30182741;296.0;676.0;7;1;0.0;9999999.0;1.0;3.0;3355.0;0;0.0;9999999.0;0.0
301418331;12.0;260.0;3;3;2.0;2.045851060858574;2.0;2.0;260.0;0;2.0;2.0;0.0
155570937;97.0;240.0;2;2;0.0;2.155336037465062;1.0;2.0;240.0;0;4.0;1.0;0.0
256172525;9.0;337.0;29;29;11.0;0.8340880623473438;11.0;2.0;596.0;0;18.0;4.0;71.0
432955193;24.0;125.0;4;4;2.0;1.4079184845524138;0.0;0.0;125.0;0;17.0;0.0;0.0
313611234;169.0;169.0;1;1;0.0;9999999.0;1.0;2.0;169.0;0;0.0;9999999.0;0.0
187687726;32.0;700.0;31;8;1.0;1.326468282084733;10.0;3.0;1517.0;0;11.0;0.0;15.0
68007272;18.0;610.0;46;27;7.0;0.8867415662423321;0.0;0.0;3824.0;0;8.0;3.0;24.0
17253212;1.0;662.0;19;10;5.0;0.9355421245505006;18.0;3.0;4129.0;3;0.0;9999999.0;12.0
243335568;40.0;389.0;3;2;1.0;2.012837224705172;0.0;0.0;942.0;0;2.0;2.0;0.0
435346586;72.0;72.0;1;1;1.0;9999999.0;0.0;0.0;72.0;0;3.0;25.0;1.0
282089113;26.0;518.0;15;12;1.0;1.1245733979971304;2.0;2.0;518.0;0;8.0;1.0;2.0
176563355;76.0;329.0;7;7;2.0;1.4963774288116811;2.0;1.0;1470.0;3;20.0;0.0;8.0
335209005;138.0;423.0;6;3;0.0;1.6249658783170973;6.0;2.0;425.0;0;4.0;0.0;0.0
282381515;109.0;354.0;3;3;0.0;2.0494256535140023;5.0;2.0;354.0;0;5.0;13.0;0.0
116852478;128.0;584.0;5;3;0.0;1.8180432575515364;4.0;3.0;1524.0;0;13.0;0.0;5.0
384938924;25.0;25.0;1;1;1.0;9999999.0;0.0;0.0;25.0;0;1.0;25.0;4.0
120335342;133.0;652.0;3;1;0.0;9999999.0;1.0;4.0;2568.0;0;0.0;9999999.0;0.0
257134526;255.0;711.0;3;1;0.0;9999999.0;0.0;0.0;722.0;0;14.0;1.0;2.0
60832674;47.0;80.0;2;2;2.0;1.5185139398778875;0.0;0.0;80.0;0;4.0;5.0;0.0
181995468;147.0;642.0;4;3;0.0;1.8635672118802442;4.0;2.0;1077.0;0;12.0;0.0;12.0
360221977;330.0;330.0;1;1;0.0;9999999.0;0.0;0.0;330.0;0;0.0;9999999.0;0.0
153827632;128.0;387.0;3;2;0.0;1.919078092376074;1.0;2.0;2035.0;0;0.0;9999999.0;3.0
326423052;153.0;155.0;2;2;0.0;0.3010299956639812;0.0;0.0;155.0;0;2.0;9.0;1.0
205007427;270.0;270.0;1;1;0.0;9999999.0;1.0;2.0;270.0;0;1.0;25.0;0.0
271494166;109.0;341.0;11;11;0.0;0.984606977172007;11.0;2.0;341.0;0;3.0;9.0;12.0
442058939;76.0;93.0;3;3;2.0;0.6020599913279624;0.0;0.0;93.0;0;4.0;3.0;0.0
